Manufacturer,Model Year,Regulatory Class,Vehicle Type,Production ,Production Share,MPG (Avg. City/HW),CO2 g/mi (Avg. City/HW),Footprint (sq. ft.)
Subaru,1989,Car,Sedan/Wagon,96,0.007,26.28,338.18,
Subaru,1989,All,All,96,0.007,26.28,338.18,
Toyota,1989,Car,Sedan/Wagon,735,0.052,26.66,333.38,
Toyota,1989,Car,All Car,735,0.052,26.66,333.38,
Hyundai,1989,Car,Sedan/Wagon,217,0.015,27.76,320.15,
Hyundai,1989,Car,All Car,217,0.015,27.76,320.15,
Hyundai,1989,All,All,217,0.015,27.76,320.15,
Ford,1990,Truck,Truck SUV,90,0.007,15.19,584.91,
Stellantis,1990,Truck,Pickup,146,0.012,16.07,553.08,
GM,1990,Truck,Pickup,683,0.056,16.13,551.17,
Toyota,1990,Truck,Truck SUV,68,0.006,16.25,546.83,
Ford,1990,Truck,Minivan/Van,271,0.022,16.27,546.39,
Nissan,1990,Truck,Truck SUV,30,0.002,16.34,543.73,
All,1990,Truck,Truck SUV,643,0.051,16.44,540.92,
GM,1990,Truck,Truck SUV,223,0.018,16.47,540.36,
GM,1990,Truck,All Truck,1315,0.108,16.56,537.13,
Stellantis,1990,Truck,Truck SUV,193,0.016,16.64,534.18,
Ford,1990,Truck,All Truck,982,0.08,16.91,525.63,
Mazda,1990,Truck,Minivan/Van,48,0.004,16.97,523.58,
VW,1990,Truck,All Truck,7,0.001,17.25,515.09,
VW,1990,Truck,Minivan/Van,7,0.001,17.25,515.09,
GM,1990,Truck,Minivan/Van,409,0.034,17.36,511.95,
All,1990,Truck,All Truck,3740,0.296,17.38,511.56,
All,1990,Truck,Pickup,1835,0.145,17.41,510.54,
Toyota,1990,Car,Car SUV,6,0.001,17.44,509.64,
Ford,1990,Truck,Pickup,621,0.051,17.49,508.00,
Mercedes,1990,Car,All Car,58,0.005,17.80,501.04,
Mercedes,1990,Car,Sedan/Wagon,58,0.005,17.80,501.04,
Mercedes,1990,All,All,58,0.005,17.80,501.04,
Stellantis,1990,Car,Car SUV,14,0.001,17.82,498.70,
All,1990,Truck,Minivan/Van,1262,0.1,17.84,498.09,
Stellantis,1990,Truck,All Truck,844,0.069,18.00,493.84,
Toyota,1990,Truck,All Truck,228,0.019,18.28,486.20,
BMW,1990,Car,All Car,57,0.005,18.41,482.73,
BMW,1990,Car,Sedan/Wagon,57,0.005,18.41,482.73,
BMW,1990,All,All,57,0.005,18.41,482.73,
All,1990,Car,Car SUV,65,0.005,18.85,471.58,
GM,1990,Car,Car SUV,25,0.002,19.05,466.63,
Stellantis,1990,Truck,Minivan/Van,506,0.041,19.26,461.40,
Toyota,1990,Truck,Pickup,160,0.013,19.30,460.43,
Ford,1990,Car,Car SUV,18,0.002,19.46,456.61,
Mazda,1990,Truck,All Truck,119,0.01,19.48,456.29,
Ford,1990,All,All,2708,0.222,19.90,446.68,
Stellantis,1990,All,All,1651,0.135,20.07,442.73,
GM,1990,All,All,4445,0.364,20.61,431.29,
All,1990,All,All,12615,1,21.16,420.09,
Nissan,1990,Truck,All Truck,178,0.015,21.16,420.02,
Nissan,1990,Truck,Minivan/Van,18,0.001,21.27,417.75,
Mazda,1990,Truck,Pickup,71,0.006,21.63,410.86,
Ford,1990,Car,All Car,1726,0.141,22.12,401.79,
Ford,1990,Car,Sedan/Wagon,1708,0.14,22.15,401.19,
Nissan,1990,Truck,Pickup,130,0.011,22.66,392.23,
Stellantis,1990,Car,All Car,807,0.066,22.83,389.27,
Mazda,1990,All,All,371,0.03,22.94,387.40,
Stellantis,1990,Car,Sedan/Wagon,793,0.065,22.94,387.34,
GM,1990,Car,All Car,3130,0.256,22.97,386.82,
Nissan,1990,All,All,651,0.053,22.99,386.54,
GM,1990,Car,Sedan/Wagon,3105,0.254,23.01,386.17,
Toyota,1990,All,All,975,0.08,23.22,382.74,
All,1990,Car,All Car,8875,0.704,23.29,381.54,
VW,1990,All,All,161,0.013,23.33,381.20,
All,1990,Car,Sedan/Wagon,8810,0.698,23.33,380.87,
Subaru,1990,Car,All Car,131,0.011,23.42,379.39,
Subaru,1990,Car,Sedan/Wagon,131,0.011,23.42,379.39,
Subaru,1990,All,All,131,0.011,23.42,379.39,
VW,1990,Car,All Car,154,0.013,23.73,374.80,
VW,1990,Car,Sedan/Wagon,154,0.013,23.73,374.80,
Nissan,1990,Car,Sedan/Wagon,473,0.039,23.76,373.96,
Nissan,1990,Car,All Car,473,0.039,23.76,373.96,
Mazda,1990,Car,Sedan/Wagon,252,0.021,25.04,354.97,
Mazda,1990,Car,All Car,252,0.021,25.04,354.97,
Toyota,1990,Car,All Car,748,0.061,25.30,351.21,
Honda,1990,Car,All Car,894,0.073,25.37,350.28,
Honda,1990,Car,Sedan/Wagon,894,0.073,25.37,350.28,
Honda,1990,All,All,894,0.073,25.37,350.28,
Toyota,1990,Car,Sedan/Wagon,742,0.061,25.40,349.91,
Hyundai,1990,Car,Sedan/Wagon,117,0.01,27.57,322.38,
Hyundai,1990,Car,All Car,117,0.01,27.57,322.38,
Hyundai,1990,All,All,117,0.01,27.57,322.38,
Toyota,1991,Truck,Truck SUV,53,0.004,15.25,582.80,
Stellantis,1991,Truck,Pickup,122,0.01,15.76,564.01,
Stellantis,1991,Truck,Truck SUV,146,0.012,16.22,547.87,
Nissan,1991,Truck,Truck SUV,38,0.003,16.28,545.74,
Ford,1991,Truck,Truck SUV,263,0.022,16.58,535.90,
Ford,1991,Truck,Minivan/Van,223,0.018,16.62,534.76,
All,1991,Truck,Truck SUV,871,0.069,16.73,531.24,
Mazda,1991,Truck,Minivan/Van,47,0.004,16.98,523.24,
Ford,1991,Truck,All Truck,1020,0.084,17.11,519.55,
Mazda,1991,Truck,Truck SUV,15,0.001,17.15,518.19,
GM,1991,Truck,Truck SUV,318,0.026,17.20,517.17,
VW,1991,Truck,All Truck,5,0,17.31,513.40,
VW,1991,Truck,Minivan/Van,5,0,17.31,513.40,
Stellantis,1991,Car,Car SUV,14,0.001,17.33,512.77,
GM,1991,Truck,Minivan/Van,294,0.024,17.45,509.55,
Ford,1991,Truck,Pickup,535,0.044,17.59,505.18,
GM,1991,Truck,All Truck,1473,0.121,17.66,503.57,
Stellantis,1991,Truck,All Truck,651,0.053,17.66,503.12,
All,1991,Truck,All Truck,3825,0.304,17.76,500.46,
Ford,1991,Car,Car SUV,85,0.007,17.82,498.65,
Toyota,1991,Car,Car SUV,5,0,17.91,496.33,
GM,1991,Truck,Pickup,861,0.071,17.91,496.51,
All,1991,Truck,Minivan/Van,1034,0.082,17.91,496.25,
All,1991,Truck,Pickup,1920,0.153,18.19,488.76,
All,1991,Car,Car SUV,224,0.018,18.21,488.07,
Mercedes,1991,Car,All Car,74,0.006,18.57,482.95,
Mercedes,1991,Car,Sedan/Wagon,74,0.006,18.57,482.95,
Mercedes,1991,All,All,74,0.006,18.57,482.95,
Toyota,1991,Truck,All Truck,313,0.026,18.65,476.57,
GM,1991,Car,Car SUV,85,0.007,18.99,467.89,
Mazda,1991,Truck,All Truck,127,0.01,19.01,467.56,
Stellantis,1991,Truck,Minivan/Van,383,0.031,19.04,466.67,
Toyota,1991,Truck,Minivan/Van,81,0.007,19.08,465.83,
BMW,1991,Car,All Car,53,0.004,19.14,464.25,
BMW,1991,Car,Sedan/Wagon,53,0.004,19.14,464.25,
BMW,1991,All,All,53,0.004,19.14,464.25,
Toyota,1991,Truck,Pickup,179,0.015,19.75,450.07,
Stellantis,1991,All,All,1436,0.118,20.12,441.60,
Ford,1991,All,All,2834,0.232,20.24,438.99,
Nissan,1991,Truck,All Truck,170,0.014,20.63,430.83,
GM,1991,All,All,4558,0.374,20.79,427.49,
All,1991,All,All,12573,1,21.26,418.15,
Mazda,1991,Truck,Pickup,66,0.005,21.35,416.24,
Nissan,1991,Truck,Pickup,131,0.011,22.36,397.38,
Ford,1991,Car,All Car,1813,0.149,22.58,393.65,
Mazda,1991,All,All,367,0.03,22.62,392.87,
GM,1991,Car,All Car,3085,0.253,22.72,391.16,
Stellantis,1991,Car,All Car,785,0.064,22.75,390.56,
GM,1991,Car,Sedan/Wagon,3000,0.246,22.85,388.99,
Ford,1991,Car,Sedan/Wagon,1728,0.142,22.88,388.50,
Stellantis,1991,Car,Sedan/Wagon,770,0.063,22.89,388.26,
Toyota,1991,All,All,1056,0.087,22.91,387.86,
Nissan,1991,All,All,577,0.047,23.04,385.80,
All,1991,Car,All Car,8747,0.696,23.26,382.16,
All,1991,Car,Sedan/Wagon,8524,0.678,23.43,379.39,
Subaru,1991,Car,All Car,101,0.008,23.49,378.27,
Subaru,1991,Car,Sedan/Wagon,101,0.008,23.49,378.27,
Subaru,1991,All,All,101,0.008,23.49,378.27,
VW,1991,All,All,122,0.01,23.82,374.52,
VW,1991,Car,All Car,117,0.01,24.18,368.90,
VW,1991,Car,Sedan/Wagon,117,0.01,24.18,368.90,
Nissan,1991,Car,Sedan/Wagon,408,0.033,24.21,367.07,
Nissan,1991,Car,All Car,408,0.033,24.21,367.07,
Mazda,1991,Car,Sedan/Wagon,240,0.02,25.16,353.16,
Mazda,1991,Car,All Car,240,0.02,25.16,353.16,
Honda,1991,Car,Sedan/Wagon,882,0.072,25.20,352.69,
Honda,1991,Car,All Car,882,0.072,25.20,352.69,
Honda,1991,All,All,882,0.072,25.20,352.69,
Toyota,1991,Car,All Car,743,0.061,25.36,350.45,
Toyota,1991,Car,Sedan/Wagon,738,0.061,25.43,349.48,
Hyundai,1991,Car,Sedan/Wagon,134,0.011,27.11,327.80,
Hyundai,1991,Car,All Car,134,0.011,27.11,327.80,
Hyundai,1991,All,All,134,0.011,27.11,327.80,
Toyota,1992,Truck,Truck SUV,44,0.004,14.17,627.15,
Toyota,1992,Car,Car SUV,5,0,14.22,625.07,
GM,1992,Truck,Truck SUV,262,0.022,16.08,552.62,
Stellantis,1992,Truck,Pickup,162,0.014,16.09,552.41,
All,1992,Truck,Truck SUV,761,0.062,16.20,548.47,
Nissan,1992,Truck,Truck SUV,38,0.003,16.32,544.66,
Ford,1992,Truck,Truck SUV,240,0.02,16.38,542.66,
Ford,1992,Truck,Minivan/Van,244,0.021,16.44,540.58,
Stellantis,1992,Truck,Truck SUV,144,0.012,16.49,539.08,
Ford,1992,Truck,All Truck,1100,0.093,16.83,527.98,
GM,1992,Truck,All Truck,1368,0.116,16.92,525.55,
GM,1992,Truck,Pickup,746,0.063,16.99,523.38,
Mazda,1992,Truck,Truck SUV,5,0,17.09,519.94,
Ford,1992,Truck,Pickup,616,0.052,17.18,517.27,
Stellantis,1992,Car,Car SUV,31,0.003,17.26,514.74,
All,1992,Truck,All Truck,3822,0.314,17.35,512.42,
GM,1992,Truck,Minivan/Van,360,0.03,17.42,510.28,
All,1992,Truck,Pickup,1840,0.151,17.48,508.48,
Ford,1992,Car,Car SUV,94,0.008,17.71,501.90,
Mazda,1992,Truck,Minivan/Van,43,0.004,17.79,499.50,
Stellantis,1992,Truck,All Truck,813,0.069,17.82,498.78,
All,1992,Car,Car SUV,243,0.02,17.84,498.05,
Mazda,1992,Car,Car SUV,4,0,17.87,497.30,
All,1992,Truck,Minivan/Van,1221,0.1,17.92,495.91,
Mercedes,1992,Car,All Car,65,0.005,18.18,492.10,
Mercedes,1992,Car,Sedan/Wagon,65,0.005,18.18,492.10,
Mercedes,1992,All,All,65,0.005,18.18,492.10,
Toyota,1992,Truck,All Truck,260,0.022,18.25,486.92,
Toyota,1992,Truck,Minivan/Van,45,0.004,18.56,478.85,
GM,1992,Car,Car SUV,83,0.007,18.71,474.93,
Stellantis,1992,Truck,Minivan/Van,507,0.043,18.90,470.17,
Mazda,1992,Truck,All Truck,94,0.008,19.30,460.42,
Toyota,1992,Truck,Pickup,171,0.015,19.62,453.04,
Ford,1992,All,All,2793,0.236,19.66,452.11,
Stellantis,1992,All,All,1477,0.125,19.71,450.91,
Nissan,1992,Truck,All Truck,120,0.01,19.88,446.96,
BMW,1992,Car,All Car,74,0.006,19.94,445.73,
BMW,1992,Car,Sedan/Wagon,74,0.006,19.94,445.73,
BMW,1992,All,All,74,0.006,19.94,445.73,
GM,1992,All,All,4442,0.376,20.31,437.69,
All,1992,All,All,12172,1,20.79,427.43,
Mazda,1992,Truck,Pickup,47,0.004,21.21,418.93,
Ford,1992,Car,All Car,1693,0.143,22.06,402.81,
Nissan,1992,Truck,Pickup,81,0.007,22.17,400.92,
Toyota,1992,All,All,1069,0.091,22.22,400.04,
GM,1992,Car,All Car,3074,0.26,22.30,398.58,
Ford,1992,Car,Sedan/Wagon,1599,0.135,22.39,397.01,
GM,1992,Car,Sedan/Wagon,2990,0.253,22.42,396.45,
Stellantis,1992,Car,All Car,664,0.056,22.65,392.37,
All,1992,Car,All Car,8350,0.686,22.88,388.53,
Mazda,1992,All,All,310,0.026,22.99,386.50,
Stellantis,1992,Car,Sedan/Wagon,634,0.054,23.00,386.45,
All,1992,Car,Sedan/Wagon,8108,0.666,23.07,385.25,
Subaru,1992,Car,All Car,114,0.01,23.29,381.60,
Subaru,1992,Car,Sedan/Wagon,114,0.01,23.29,381.60,
Subaru,1992,All,All,114,0.01,23.29,381.60,
Nissan,1992,All,All,509,0.043,23.48,378.48,
Toyota,1992,Car,All Car,809,0.068,23.88,372.09,
VW,1992,Car,All Car,88,0.007,23.90,372.32,
VW,1992,Car,Sedan/Wagon,88,0.007,23.90,372.32,
VW,1992,All,All,88,0.007,23.90,372.32,
Toyota,1992,Car,Sedan/Wagon,804,0.068,23.98,370.54,
Nissan,1992,Car,Sedan/Wagon,389,0.033,24.87,357.37,
Nissan,1992,Car,All Car,389,0.033,24.87,357.37,
Mazda,1992,Car,All Car,216,0.018,25.09,354.25,
Mazda,1992,Car,Sedan/Wagon,212,0.018,25.30,351.23,
Honda,1992,Car,Sedan/Wagon,767,0.065,25.68,346.04,
Honda,1992,Car,All Car,767,0.065,25.68,346.04,
Honda,1992,All,All,767,0.065,25.68,346.04,
Hyundai,1992,Car,Sedan/Wagon,105,0.009,25.74,345.21,
Hyundai,1992,Car,All Car,105,0.009,25.74,345.21,
Hyundai,1992,All,All,105,0.009,25.74,345.21,
Toyota,1993,Truck,Truck SUV,44,0.003,14.29,621.92,
Toyota,1993,Car,Car SUV,7,0.001,15.08,589.46,
Stellantis,1993,Truck,Pickup,158,0.012,15.79,562.73,
Stellantis,1993,Car,Car SUV,255,0.02,16.12,551.38,
Nissan,1993,Truck,Truck SUV,41,0.003,16.12,551.18,
GM,1993,Truck,Truck SUV,322,0.025,16.18,549.42,
All,1993,Truck,Truck SUV,838,0.063,16.29,545.51,
Ford,1993,Truck,Truck SUV,241,0.019,16.43,541.04,
Stellantis,1993,Truck,Truck SUV,152,0.012,16.64,533.96,
GM,1993,Truck,All Truck,1430,0.111,16.78,529.64,
GM,1993,Truck,Pickup,761,0.059,16.83,528.18,
All,1993,Car,Car SUV,473,0.036,17.03,521.87,
Mazda,1993,Truck,Truck SUV,4,0,17.13,518.89,
GM,1993,Truck,Minivan/Van,347,0.027,17.27,514.46,
Ford,1993,Truck,All Truck,1406,0.109,17.33,512.89,
Ford,1993,Truck,Minivan/Van,446,0.035,17.36,511.78,
VW,1993,Truck,All Truck,11,0.001,17.37,511.49,
VW,1993,Truck,Minivan/Van,11,0.001,17.37,511.49,
All,1993,Truck,All Truck,4281,0.324,17.51,507.46,
All,1993,Truck,Pickup,2002,0.152,17.59,505.36,
Ford,1993,Truck,Pickup,720,0.056,17.63,504.16,
Mazda,1993,Truck,Minivan/Van,28,0.002,17.86,497.51,
Ford,1993,Car,Car SUV,98,0.008,17.98,494.20,
Toyota,1993,Truck,Minivan/Van,37,0.003,18.10,490.88,
Nissan,1993,Truck,Minivan/Van,25,0.002,18.14,489.82,
Mazda,1993,Car,Car SUV,2,0,18.16,489.46,
All,1993,Truck,Minivan/Van,1441,0.109,18.20,488.24,
Stellantis,1993,Truck,All Truck,852,0.066,18.24,487.28,
Toyota,1993,Truck,All Truck,292,0.023,18.42,482.58,
Mercedes,1993,Car,All Car,59,0.005,18.92,469.62,
Mercedes,1993,Car,Sedan/Wagon,59,0.005,18.92,469.62,
Mercedes,1993,All,All,59,0.005,18.92,469.62,
Mazda,1993,Truck,All Truck,63,0.005,19.36,458.99,
GM,1993,Car,Car SUV,85,0.007,19.50,455.68,
Stellantis,1993,All,All,1873,0.145,19.58,453.86,
Toyota,1993,Truck,Pickup,212,0.016,19.64,452.40,
Stellantis,1993,Truck,Minivan/Van,542,0.042,19.65,452.16,
Nissan,1993,Truck,All Truck,179,0.014,19.66,452.10,
GM,1993,All,All,4265,0.331,20.31,437.56,
Ford,1993,All,All,3631,0.282,20.38,436.12,
Stellantis,1993,Car,All Car,1021,0.079,20.86,425.96,
All,1993,All,All,13211,1,20.88,425.63,
BMW,1993,Car,All Car,65,0.005,20.91,425.04,
BMW,1993,Car,Sedan/Wagon,65,0.005,20.91,425.04,
BMW,1993,All,All,65,0.005,20.91,425.04,
VW,1993,All,All,74,0.006,21.26,418.02,
Mazda,1993,Truck,Pickup,30,0.002,21.42,414.84,
Nissan,1993,Truck,Pickup,113,0.009,21.82,407.37,
Toyota,1993,All,All,1083,0.084,22.09,402.34,
VW,1993,Car,All Car,63,0.005,22.09,402.33,
VW,1993,Car,Sedan/Wagon,63,0.005,22.09,402.33,
Nissan,1993,All,All,552,0.043,22.50,395.00,
GM,1993,Car,All Car,2835,0.22,22.72,391.13,
GM,1993,Car,Sedan/Wagon,2750,0.213,22.84,389.12,
Ford,1993,Car,All Car,2224,0.173,22.93,387.58,
All,1993,Car,All Car,8929,0.676,23.00,386.40,
Stellantis,1993,Car,Sedan/Wagon,765,0.059,23.14,384.11,
Ford,1993,Car,Sedan/Wagon,2127,0.165,23.22,382.68,
All,1993,Car,Sedan/Wagon,8456,0.64,23.46,378.83,
Mazda,1993,All,All,354,0.027,23.65,375.85,
Toyota,1993,Car,All Car,790,0.061,23.85,372.66,
Toyota,1993,Car,Sedan/Wagon,783,0.061,23.98,370.63,
Subaru,1993,Car,All Car,130,0.01,24.14,368.20,
Subaru,1993,Car,Sedan/Wagon,130,0.01,24.14,368.20,
Subaru,1993,All,All,130,0.01,24.14,368.20,
Nissan,1993,Car,Sedan/Wagon,373,0.029,24.18,367.59,
Nissan,1993,Car,All Car,373,0.029,24.18,367.59,
Mazda,1993,Car,All Car,292,0.023,24.82,357.99,
Mazda,1993,Car,Sedan/Wagon,290,0.023,24.87,357.30,
Hyundai,1993,Car,Sedan/Wagon,106,0.008,25.61,347.05,
Hyundai,1993,Car,All Car,106,0.008,25.61,347.05,
Hyundai,1993,All,All,106,0.008,25.61,347.05,
Honda,1993,Car,Sedan/Wagon,692,0.054,26.54,334.86,
Honda,1993,Car,All Car,692,0.054,26.54,334.86,
Honda,1993,All,All,692,0.054,26.54,334.86,
Toyota,1994,Truck,Truck SUV,87,0.006,14.37,618.65,
Nissan,1994,Truck,Truck SUV,52,0.004,15.37,578.37,
Stellantis,1994,Truck,Pickup,314,0.023,15.60,569.66,
Stellantis,1994,Truck,Truck SUV,340,0.025,15.72,565.37,
All,1994,Truck,Truck SUV,1291,0.091,16.01,555.21,
GM,1994,Truck,Truck SUV,451,0.033,16.11,551.52,
Ford,1994,Truck,Truck SUV,286,0.021,16.42,541.25,
Honda,1994,Truck,Truck SUV,16,0.001,16.53,537.62,
Honda,1994,Truck,All Truck,16,0.001,16.53,537.62,
Ford,1994,Truck,Minivan/Van,292,0.021,16.59,535.64,
GM,1994,Truck,Pickup,979,0.071,16.64,533.98,
GM,1994,Truck,All Truck,1790,0.131,16.66,533.30,
Honda,1994,Car,Car SUV,9,0.001,16.83,527.96,
Mazda,1994,Truck,Truck SUV,7,0,16.90,525.97,
Stellantis,1994,Truck,All Truck,1321,0.096,17.00,522.77,
All,1994,Truck,All Truck,5378,0.381,17.17,517.53,
Ford,1994,Truck,All Truck,1463,0.107,17.23,515.92,
All,1994,Truck,Pickup,2669,0.189,17.44,509.55,
Stellantis,1994,Car,Car SUV,72,0.005,17.45,509.33,
GM,1994,Truck,Minivan/Van,360,0.026,17.47,508.67,
Ford,1994,Car,Car SUV,109,0.008,17.51,507.63,
Ford,1994,Truck,Pickup,885,0.065,17.73,501.24,
Mazda,1994,Truck,Minivan/Van,26,0.002,17.74,500.95,
Mazda,1994,Car,Car SUV,2,0,17.80,499.37,
All,1994,Truck,Minivan/Van,1418,0.1,17.84,498.22,
All,1994,Car,Car SUV,332,0.023,18.04,492.63,
Toyota,1994,Truck,All Truck,353,0.026,18.14,489.97,
Toyota,1994,Truck,Minivan/Van,17,0.001,18.20,488.32,
Stellantis,1994,All,All,2129,0.155,18.41,482.68,
Stellantis,1994,Truck,Minivan/Van,667,0.049,18.55,478.98,
GM,1994,Car,Car SUV,105,0.008,18.77,473.58,
Nissan,1994,Truck,Minivan/Van,50,0.004,18.84,471.70,
Nissan,1994,Truck,All Truck,224,0.016,18.94,469.33,
Mazda,1994,Truck,All Truck,138,0.01,19.53,455.09,
Mercedes,1994,Car,All Car,59,0.004,19.57,454.81,
Mercedes,1994,Car,Sedan/Wagon,59,0.004,19.57,454.81,
Mercedes,1994,All,All,59,0.004,19.57,454.81,
Ford,1994,All,All,3342,0.244,19.73,450.38,
Toyota,1994,Truck,Pickup,249,0.018,19.98,444.87,
GM,1994,All,All,4800,0.35,20.01,444.18,
Mazda,1994,Truck,Pickup,105,0.008,20.25,438.89,
All,1994,All,All,14125,1,20.38,436.12,
BMW,1994,Car,All Car,85,0.006,20.75,428.20,
BMW,1994,Car,Sedan/Wagon,85,0.006,20.75,428.20,
BMW,1994,All,All,85,0.006,20.75,428.20,
Nissan,1994,Truck,Pickup,122,0.009,21.05,422.27,
Stellantis,1994,Car,All Car,808,0.059,21.31,417.12,
Toyota,1994,All,All,1114,0.081,21.75,408.60,
Stellantis,1994,Car,Sedan/Wagon,736,0.054,21.77,408.15,
Ford,1994,Car,All Car,1879,0.137,22.25,399.36,
Nissan,1994,All,All,716,0.052,22.52,394.55,
Ford,1994,Car,Sedan/Wagon,1770,0.129,22.63,392.69,
GM,1994,Car,All Car,3010,0.22,22.72,391.17,
Mazda,1994,All,All,398,0.029,22.74,390.84,
GM,1994,Car,Sedan/Wagon,2905,0.212,22.89,388.19,
VW,1994,All,All,78,0.006,22.96,387.05,
VW,1994,Car,All Car,77,0.006,22.99,386.57,
VW,1994,Car,Sedan/Wagon,77,0.006,22.99,386.57,
All,1994,Car,All Car,8747,0.619,23.02,386.07,
Subaru,1994,Car,All Car,50,0.004,23.20,383.08,
Subaru,1994,Car,Sedan/Wagon,50,0.004,23.20,383.08,
Subaru,1994,All,All,50,0.004,23.20,383.08,
All,1994,Car,Sedan/Wagon,8415,0.596,23.27,381.86,
Toyota,1994,Car,Sedan/Wagon,760,0.056,23.97,370.76,
Toyota,1994,Car,All Car,760,0.056,23.97,370.76,
Nissan,1994,Car,Sedan/Wagon,491,0.036,24.66,360.40,
Nissan,1994,Car,All Car,491,0.036,24.66,360.40,
Mazda,1994,Car,All Car,260,0.019,24.91,356.74,
Mazda,1994,Car,Sedan/Wagon,258,0.019,24.98,355.75,
Honda,1994,All,All,804,0.059,25.90,343.13,
Honda,1994,Car,All Car,788,0.058,26.21,339.11,
Honda,1994,Car,Sedan/Wagon,779,0.057,26.37,337.01,
Hyundai,1994,Car,Sedan/Wagon,112,0.008,26.89,330.50,
Hyundai,1994,Car,All Car,112,0.008,26.89,330.50,
Hyundai,1994,All,All,112,0.008,26.89,330.50,
Kia,1994,Car,All Car,11,0.001,26.93,330.06,
Kia,1994,Car,Sedan/Wagon,11,0.001,26.93,330.06,
Kia,1994,All,All,11,0.001,26.93,330.06,
Toyota,1995,Truck,Truck SUV,77,0.005,14.45,615.06,
Stellantis,1995,Truck,Pickup,293,0.02,14.75,602.32,
Nissan,1995,Truck,Truck SUV,105,0.007,15.71,565.79,
Stellantis,1995,Truck,Truck SUV,421,0.029,15.97,556.49,
All,1995,Truck,Truck SUV,1596,0.105,16.00,555.50,
GM,1995,Truck,Truck SUV,619,0.042,16.07,553.13,
VW,1995,Truck,All Truck,2,0,16.07,553.02,
VW,1995,Truck,Minivan/Van,2,0,16.07,553.02,
Stellantis,1995,Car,Car SUV,71,0.005,16.17,549.44,
Ford,1995,Truck,Truck SUV,287,0.02,16.21,548.17,
GM,1995,Truck,All Truck,1992,0.136,16.58,536.05,
Stellantis,1995,Truck,All Truck,1170,0.08,16.67,533.22,
GM,1995,Truck,Pickup,904,0.062,16.69,532.62,
Ford,1995,Truck,Pickup,701,0.048,16.81,528.79,
All,1995,Truck,Pickup,2271,0.15,16.89,526.16,
All,1995,Truck,All Truck,5529,0.365,16.95,524.24,
GM,1995,Truck,Minivan/Van,469,0.032,17.09,520.11,
Ford,1995,Truck,All Truck,1588,0.108,17.12,519.03,
Mazda,1995,Truck,Minivan/Van,16,0.001,17.33,512.87,
Toyota,1995,Truck,All Truck,258,0.018,17.38,511.29,
Toyota,1995,Car,Car SUV,33,0.002,17.60,505.00,
All,1995,Car,Car SUV,220,0.015,17.81,498.94,
Ford,1995,Truck,Minivan/Van,600,0.041,18.00,493.65,
All,1995,Truck,Minivan/Van,1662,0.11,18.08,491.59,
Nissan,1995,Truck,All Truck,343,0.023,18.46,481.55,
Toyota,1995,Truck,Minivan/Van,21,0.001,18.58,478.21,
Ford,1995,Car,Car SUV,11,0.001,18.60,477.84,
GM,1995,Car,Car SUV,97,0.007,18.85,471.44,
Stellantis,1995,All,All,2191,0.149,18.99,467.99,
Stellantis,1995,Truck,Minivan/Van,456,0.031,19.01,467.38,
Nissan,1995,Truck,Minivan/Van,65,0.004,19.04,466.65,
Toyota,1995,Truck,Pickup,160,0.011,19.09,465.65,
GM,1995,All,All,5205,0.355,19.83,448.12,
Ford,1995,All,All,3553,0.242,19.93,446.00,
Kia,1995,Truck,All Truck,10,0.001,19.94,445.72,
Kia,1995,Truck,Truck SUV,10,0.001,19.94,445.72,
Mazda,1995,Truck,All Truck,46,0.003,20.10,442.06,
Mercedes,1995,Car,All Car,100,0.007,20.30,440.50,
Mercedes,1995,Car,Sedan/Wagon,100,0.007,20.30,440.50,
Mercedes,1995,All,All,100,0.007,20.30,440.50,
Nissan,1995,Truck,Pickup,173,0.012,20.37,436.33,
All,1995,All,All,15145,1,20.49,433.83,
BMW,1995,Car,All Car,120,0.008,20.84,426.38,
BMW,1995,Car,Sedan/Wagon,120,0.008,20.84,426.38,
BMW,1995,All,All,120,0.008,20.84,426.38,
Honda,1995,Truck,All Truck,32,0.002,20.90,425.21,
Honda,1995,Truck,Minivan/Van,32,0.002,20.90,425.21,
Nissan,1995,All,All,864,0.059,21.48,413.82,
Mazda,1995,Truck,Pickup,30,0.002,22.04,403.20,
Toyota,1995,All,All,1087,0.074,22.19,400.49,
GM,1995,Car,All Car,3212,0.219,22.58,393.58,
Stellantis,1995,Car,All Car,1021,0.07,22.60,393.23,
GM,1995,Car,Sedan/Wagon,3115,0.212,22.72,391.15,
Ford,1995,Car,All Car,1966,0.134,22.96,387.00,
Ford,1995,Car,Sedan/Wagon,1955,0.133,22.99,386.51,
VW,1995,All,All,150,0.01,23.09,384.82,
VW,1995,Car,All Car,148,0.01,23.22,382.77,
VW,1995,Car,Sedan/Wagon,148,0.01,23.22,382.77,
Kia,1995,All,All,31,0.002,23.26,382.01,
All,1995,Car,All Car,9616,0.635,23.27,381.85,
Stellantis,1995,Car,Sedan/Wagon,950,0.065,23.29,381.55,
All,1995,Car,Sedan/Wagon,9396,0.62,23.44,379.11,
Subaru,1995,Car,All Car,109,0.007,23.45,379.05,
Subaru,1995,Car,Sedan/Wagon,109,0.007,23.45,379.05,
Subaru,1995,All,All,109,0.007,23.45,379.05,
